date,category,amount,description
2022-10-23,Bills,10.5,Airtel Postpaid ₹10.5
2022-10-23,Miscellaneous,4.0,Donation ₹4.0
2022-10-23,Investment,5.7,Stock Purchase ₹5.7
2022-10-23,Insurance,5.0,LIC Premium ₹5.0
2022-10-23,Food,11.7,Zomato Order ₹11.7
2022-10-23,Fitness,6.0,Gym Membership ₹6.0
2022-10-24,Entertainment,1.0,Hotstar Renewal ₹1.0
2022-10-24,Fitness,43.0,Protein Supplement ₹43.0
2022-10-24,Fitness,7.0,CultFit Subscription ₹7.0
2022-10-24,Transport,0.6,Delhi Metro Recharge ₹0.6
2022-10-24,Dining,7.7,Subway Sandwich ₹7.7
2022-10-24,Fitness,5.7,Yoga Class ₹5.7
2022-10-25,Healthcare,5.0,Diagnostic Center Payment ₹5.0
2022-10-25,Groceries,5.0,BigBasket Order ₹5.0
2022-10-25,Shopping,6.0,Ajio Shopping ₹6.0
2022-10-25,Miscellaneous,12.0,Gift Shop ₹12.0
2022-10-25,Education,4.0,Unacademy Plan ₹4.0
2022-10-26,Investment,4.5,Mutual Fund SIP ₹4.5
2022-10-26,Entertainment,7.7,YouTube Premium ₹7.7
2022-10-26,Miscellaneous,11.52,Charity ₹11.52
2022-10-27,Insurance,41.0,Health Insurance ₹41.0
2022-10-27,Miscellaneous,0.6,Stationery Store ₹0.6
2022-10-28,Entertainment,1.9,YouTube Premium ₹1.9
2022-10-28,Insurance,10.0,Health Insurance ₹10.0
2022-10-28,Groceries,10.4,BigBasket Order ₹10.4
2022-10-29,Investment,13.0,Crypto Investment ₹13.0
2022-10-29,Miscellaneous,39.0,Gift Shop ₹39.0
2022-10-29,Groceries,5.7,BigBasket Order ₹5.7
2022-10-29,Groceries,10.0,BigBasket Order ₹10.0
2022-10-29,Groceries,1.2,BigBasket Order ₹1.2
2022-10-29,Healthcare,1.5,Diagnostic Center Payment ₹1.5
2022-10-30,Travel,5.0,IRCTC Train Ticket ₹5.0
2022-10-30,Insurance,6.7,Car Insurance ₹6.7
2022-10-30,Insurance,3.0,LIC Premium ₹3.0
2022-10-30,Transport,20.0,Ola Ride ₹20.0
2022-10-30,Groceries,23.0,DMart Purchase ₹23.0
2022-10-30,Food,5.7,Swiggy Payment ₹5.7
2022-10-31,Education,1.0,Udemy Course ₹1.0
2022-10-31,Bills,20.0,Airtel Postpaid ₹20.0
2022-10-31,Transport,9.0,Cab Fare ₹9.0
2022-10-31,Education,2.7,Skillshare Membership ₹2.7
2022-10-31,Food,7.0,Pizza Hut Bill ₹7.0
2022-10-31,Transport,6.0,Delhi Metro Recharge ₹6.0
2022-11-01,Shopping,1.9,Flipkart Order ₹1.9
2022-11-01,Travel,9.0,Air India Flight ₹9.0
2022-11-01,Dining,4.0,Subway Sandwich ₹4.0
2022-11-02,Entertainment,1.5,Netflix Subscription ₹1.5
2022-11-02,Travel,10.0,MakeMyTrip Payment ₹10.0
2022-11-02,Dining,3.14,McDonalds Bill ₹3.14
2022-11-02,Food,5.5,Burger King Payment ₹5.5
2022-11-02,Healthcare,8.0,Diagnostic Center Payment ₹8.0
2022-11-03,Fitness,1.92,Gym Membership ₹1.92
2022-11-03,Entertainment,6.0,YouTube Premium ₹6.0
2022-11-03,Dining,6.7,Subway Sandwich ₹6.7
2022-11-04,Fitness,6.3,Gym Membership ₹6.3
2022-11-04,Groceries,6.0,BigBasket Order ₹6.0
2022-11-04,Entertainment,6.58,Hotstar Renewal ₹6.58
2022-11-04,Dining,0.6,KFC Meal ₹0.6
2022-11-04,Fitness,7.0,Yoga Class ₹7.0
2022-11-04,Dining,39.0,McDonalds Bill ₹39.0
2022-11-05,Miscellaneous,2.22,Gift Shop ₹2.22
2022-11-05,Groceries,1.32,More Supermarket ₹1.32
2022-11-05,Fitness,10.0,CultFit Subscription ₹10.0
2022-11-05,Healthcare,5.7,Apollo Pharmacy ₹5.7
2022-11-05,Groceries,5.7,BigBasket Order ₹5.7
2022-11-05,Investment,7.2,Stock Purchase ₹7.2
2022-11-06,Dining,0.7,Subway Sandwich ₹0.7
2022-11-06,Insurance,15.7,LIC Premium ₹15.7
2022-11-06,Shopping,12.6,Ajio Shopping ₹12.6
2022-11-06,Food,8.7,Cafe Coffee Day ₹8.7
2022-11-07,Bills,4.2,Internet Bill ₹4.2
2022-11-07,Insurance,6.1,Car Insurance ₹6.1
2022-11-07,Groceries,9.45,DMart Purchase ₹9.45
2022-11-08,Miscellaneous,10.3,Donation ₹10.3
2022-11-08,Bills,6.5,Internet Bill ₹6.5
2022-11-08,Investment,6.1,Crypto Investment ₹6.1
2022-11-08,Food,23.77,Zomato Order ₹23.77
2022-11-09,Shopping,6.1,Flipkart Order ₹6.1
2022-11-09,Shopping,6.1,Myntra Order ₹6.1
2022-11-09,Travel,3.0,Air India Flight ₹3.0
2022-11-09,Travel,5.4,OYO Rooms Booking ₹5.4
2022-11-10,Miscellaneous,6.1,Charity ₹6.1
2022-11-10,Food,7.1,Swiggy Payment ₹7.1
2022-11-10,Healthcare,6.7,Doctor Visit ₹6.7
2022-11-10,Groceries,6.1,Reliance Fresh ₹6.1
2022-11-11,Food,7.0,Zomato Order ₹7.0
2022-11-11,Education,6.0,Udemy Course ₹6.0
2022-11-11,Fitness,12.0,CultFit Subscription ₹12.0
2022-11-11,Investment,3.0,Mutual Fund SIP ₹3.0
2022-11-11,Transport,6.0,Cab Fare ₹6.0
2022-11-11,Travel,5.0,IRCTC Train Ticket ₹5.0
2022-11-11,Healthcare,7.1,Doctor Visit ₹7.1
2022-11-11,Entertainment,0.6,YouTube Premium ₹0.6
2022-11-11,Insurance,7.0,Car Insurance ₹7.0
2022-11-11,Insurance,1.5,Car Insurance ₹1.5
2022-11-11,Fitness,7.67,CultFit Subscription ₹7.67
2022-11-12,Transport,17.6,Uber Trip ₹17.6
2022-11-12,Healthcare,6.1,MedPlus Bill ₹6.1
2022-11-12,Bills,8.52,Jio Fiber Recharge ₹8.52
2022-11-13,Food,6.1,Pizza Hut Bill ₹6.1
2022-11-13,Healthcare,13.0,Apollo Pharmacy ₹13.0
2022-11-14,Fitness,4.32,Gym Membership ₹4.32
2022-11-14,Fitness,8.0,Yoga Class ₹8.0
2022-11-14,Groceries,5.0,DMart Purchase ₹5.0
2022-11-14,Healthcare,6.1,Doctor Visit ₹6.1
2022-11-14,Bills,6.1,Internet Bill ₹6.1
2022-11-14,Travel,6.5,IRCTC Train Ticket ₹6.5
2022-11-14,Miscellaneous,2.9,Stationery Store ₹2.9
2022-11-15,Transport,1.94,Ola Ride ₹1.94
2022-11-15,Groceries,0.65,BigBasket Order ₹0.65
2022-11-15,Food,15.0,Dominos Order ₹15.0
2022-11-15,Groceries,7.0,DMart Purchase ₹7.0
2022-11-16,Entertainment,10.0,BookMyShow Ticket ₹10.0
2022-11-16,Travel,1.4,MakeMyTrip Payment ₹1.4
2022-11-16,Fitness,6.0,Protein Supplement ₹6.0
2022-11-16,Travel,6.1,MakeMyTrip Payment ₹6.1
2022-11-16,Bills,6.1,Internet Bill ₹6.1
2022-11-17,Food,8.0,Dominos Order ₹8.0
2022-11-17,Healthcare,2.0,Diagnostic Center Payment ₹2.0
2022-11-17,Transport,5.63,Ola Ride ₹5.63
2022-11-18,Healthcare,1.37,Doctor Visit ₹1.37
2022-11-18,Food,6.0,Zomato Order ₹6.0
2022-11-18,Investment,0.72,PPF Deposit ₹0.72
2022-11-18,Education,6.1,Coursera Subscription ₹6.1
2022-11-18,Groceries,15.0,BigBasket Order ₹15.0
2022-11-18,Food,8.0,Zomato Order ₹8.0
2022-11-19,Transport,6.9,Uber Trip ₹6.9
2022-11-19,Entertainment,6.7,BookMyShow Ticket ₹6.7
2022-11-19,Travel,6.0,OYO Rooms Booking ₹6.0
2022-11-19,Miscellaneous,2.1,Charity ₹2.1
2022-11-20,Investment,20.1,Crypto Investment ₹20.1
2022-11-20,Miscellaneous,19.0,Gift Shop ₹19.0
2022-11-20,Education,6.7,Skillshare Membership ₹6.7
2022-11-20,Transport,50.0,Rapido Ride ₹50.0
2022-11-21,Shopping,6.7,Myntra Order ₹6.7
2022-11-21,Insurance,10.0,Health Insurance ₹10.0
2022-11-21,Groceries,7.0,More Supermarket ₹7.0
2022-11-21,Entertainment,7.5,Netflix Subscription ₹7.5
2022-11-22,Transport,10.0,Delhi Metro Recharge ₹10.0
2022-11-22,Shopping,2.0,TataCliq Payment ₹2.0
2022-11-22,Transport,17.0,Train Ticket ₹17.0
2022-11-22,Insurance,3.0,Car Insurance ₹3.0
2022-11-22,Travel,7.0,MakeMyTrip Payment ₹7.0
2022-11-22,Entertainment,0.7,YouTube Premium ₹0.7
2022-11-22,Insurance,1.45,LIC Premium ₹1.45
2022-11-22,Travel,6.7,IRCTC Train Ticket ₹6.7
2022-11-22,Groceries,18.0,Reliance Fresh ₹18.0
2022-11-23,Insurance,1.6,Health Insurance ₹1.6
2022-11-23,Travel,7.0,Air India Flight ₹7.0
2022-11-23,Investment,0.72,Crypto Investment ₹0.72
2022-11-23,Shopping,6.7,Ajio Shopping ₹6.7
2022-11-23,Dining,6.7,KFC Meal ₹6.7
2022-11-24,Dining,1.9,Barbeque Nation ₹1.9
2022-11-24,Miscellaneous,5.0,Charity ₹5.0
2022-11-24,Travel,7.0,OYO Rooms Booking ₹7.0
2022-11-24,Groceries,1.5,BigBasket Order ₹1.5
2022-11-24,Shopping,7.5,Flipkart Order ₹7.5
2022-11-24,Healthcare,6.7,Apollo Pharmacy ₹6.7
2022-11-24,Travel,6.71,MakeMyTrip Payment ₹6.71
2022-11-25,Miscellaneous,1.72,Gift Shop ₹1.72
2022-11-25,Dining,9.0,Subway Sandwich ₹9.0
2022-11-25,Transport,14.0,Train Ticket ₹14.0
2022-11-25,Groceries,8.0,More Supermarket ₹8.0
2022-11-25,Insurance,6.2,LIC Premium ₹6.2
2022-11-25,Groceries,5.0,Reliance Fresh ₹5.0
2022-11-25,Food,5.88,Cafe Coffee Day ₹5.88
2022-11-26,Education,6.7,Unacademy Plan ₹6.7
2022-11-26,Miscellaneous,7.1,Gift Shop ₹7.1
2022-11-26,Food,6.7,Swiggy Payment ₹6.7
2022-11-26,Dining,6.7,Subway Sandwich ₹6.7
2022-11-26,Fitness,6.6,Protein Supplement ₹6.6
2022-11-26,Shopping,5.7,Flipkart Order ₹5.7
2022-11-27,Education,6.7,Skillshare Membership ₹6.7
2022-11-27,Dining,6.7,Subway Sandwich ₹6.7
2022-11-27,Dining,4.0,McDonalds Bill ₹4.0
2022-11-28,Entertainment,1.17,Spotify Payment ₹1.17
2022-11-28,Shopping,14.0,Flipkart Order ₹14.0
2022-11-28,Food,7.0,Cafe Coffee Day ₹7.0
2022-11-28,Fitness,1.0,Gym Membership ₹1.0
2022-11-29,Insurance,2.0,Health Insurance ₹2.0
2022-11-29,Shopping,2.0,Amazon Purchase ₹2.0
2022-11-29,Investment,3.62,Stock Purchase ₹3.62
2022-11-29,Transport,5.0,Delhi Metro Recharge ₹5.0
2022-11-29,Miscellaneous,3.62,Donation ₹3.62
2022-11-30,Bills,1.4,Internet Bill ₹1.4
2022-11-30,Food,8.0,Dominos Order ₹8.0
2022-11-30,Transport,7.1,Delhi Metro Recharge ₹7.1
2022-11-30,Bills,4.0,Jio Fiber Recharge ₹4.0
2022-11-30,Insurance,11.5,LIC Premium ₹11.5
2022-12-01,Healthcare,2.7,Apollo Pharmacy ₹2.7
2022-12-01,Groceries,7.0,More Supermarket ₹7.0
2022-12-01,Food,6.7,Dominos Order ₹6.7
2022-12-01,Fitness,6.0,Yoga Class ₹6.0
2022-12-02,Groceries,9.5,Reliance Fresh ₹9.5
2022-12-02,Education,0.88,Coursera Subscription ₹0.88
2022-12-02,Transport,57.0,Rapido Ride ₹57.0
2022-12-02,Insurance,10.0,Health Insurance ₹10.0
2022-12-02,Insurance,6.7,Car Insurance ₹6.7
2022-12-02,Transport,7.7,Cab Fare ₹7.7
2022-12-03,Healthcare,6.7,MedPlus Bill ₹6.7
2022-12-03,Dining,6.7,Subway Sandwich ₹6.7
2022-12-03,Insurance,6.7,LIC Premium ₹6.7
2022-12-03,Education,6.7,Udemy Course ₹6.7
2022-12-03,Entertainment,19.0,BookMyShow Ticket ₹19.0
2022-12-03,Travel,10.0,MakeMyTrip Payment ₹10.0
2022-12-04,Travel,6.9,IRCTC Train Ticket ₹6.9
2022-12-04,Investment,6.5,Mutual Fund SIP ₹6.5
2022-12-04,Bills,5.2,Jio Fiber Recharge ₹5.2
2022-12-04,Transport,6.7,Ola Ride ₹6.7
2022-12-04,Insurance,6.7,LIC Premium ₹6.7
2022-12-04,Healthcare,7.0,Diagnostic Center Payment ₹7.0
2022-12-04,Food,6.1,Pizza Hut Bill ₹6.1
2022-12-05,Healthcare,20.0,Diagnostic Center Payment ₹20.0
2022-12-05,Groceries,55.0,DMart Purchase ₹55.0
2022-12-05,Miscellaneous,10.0,Charity ₹10.0
2022-12-05,Groceries,7.6,More Supermarket ₹7.6
2022-12-05,Travel,7.6,IRCTC Train Ticket ₹7.6
2022-12-05,Healthcare,11.7,Diagnostic Center Payment ₹11.7
2022-12-06,Bills,7.0,Jio Fiber Recharge ₹7.0
2022-12-06,Transport,6.7,Delhi Metro Recharge ₹6.7
2022-12-06,Fitness,8.0,Gym Membership ₹8.0
2022-12-07,Fitness,3.23,Gym Membership ₹3.23
2022-12-07,Fitness,20.0,Gym Membership ₹20.0
2022-12-07,Fitness,7.0,Yoga Class ₹7.0
2022-12-08,Investment,5.2,PPF Deposit ₹5.2
2022-12-08,Food,6.7,Burger King Payment ₹6.7
2022-12-08,Food,6.7,Burger King Payment ₹6.7
2022-12-08,Entertainment,6.7,BookMyShow Ticket ₹6.7
2022-12-08,Investment,7.0,Stock Purchase ₹7.0
2022-12-09,Miscellaneous,7.6,Charity ₹7.6
2022-12-09,Food,6.9,Cafe Coffee Day ₹6.9
2022-12-09,Bills,13.6,Jio Fiber Recharge ₹13.6
2022-12-09,Healthcare,6.7,Diagnostic Center Payment ₹6.7
2022-12-09,Shopping,9.75,Ajio Shopping ₹9.75
2022-12-10,Food,6.7,Dominos Order ₹6.7
2022-12-10,Bills,6.7,Water Bill ₹6.7
2022-12-10,Travel,6.8,MakeMyTrip Payment ₹6.8
2022-12-11,Dining,13.2,KFC Meal ₹13.2
2022-12-11,Miscellaneous,10.0,Charity ₹10.0
2022-12-11,Transport,6.7,Rapido Ride ₹6.7
2022-12-12,Groceries,9.23,DMart Purchase ₹9.23
2022-12-12,Healthcare,7.0,Doctor Visit ₹7.0
2022-12-12,Miscellaneous,12.5,Petrol Pump ₹12.5
2022-12-12,Bills,6.7,Jio Fiber Recharge ₹6.7
2022-12-12,Groceries,13.0,Reliance Fresh ₹13.0
2022-12-12,Dining,36.0,McDonalds Bill ₹36.0
2022-12-13,Healthcare,18.0,Apollo Pharmacy ₹18.0
2022-12-13,Investment,170.0,Crypto Investment ₹170.0
2022-12-13,Investment,7.0,Mutual Fund SIP ₹7.0
2022-12-13,Fitness,6.7,Gym Membership ₹6.7
2022-12-13,Shopping,6.22,Ajio Shopping ₹6.22
2022-12-14,Bills,4.23,Internet Bill ₹4.23
2022-12-14,Travel,200.0,OYO Rooms Booking ₹200.0
2022-12-14,Healthcare,7.0,Diagnostic Center Payment ₹7.0
2022-12-14,Insurance,6.7,LIC Premium ₹6.7
2022-12-14,Fitness,6.7,Protein Supplement ₹6.7
2022-12-15,Fitness,6.4,Gym Membership ₹6.4
2022-12-15,Investment,10.0,Mutual Fund SIP ₹10.0
2022-12-15,Miscellaneous,6.7,Charity ₹6.7
2022-12-15,Bills,6.7,Airtel Postpaid ₹6.7
2022-12-16,Education,6.0,Udemy Course ₹6.0
2022-12-16,Bills,10.0,Jio Fiber Recharge ₹10.0
2022-12-16,Bills,7.0,Electricity Bill BSES ₹7.0
2022-12-16,Groceries,1.7,Reliance Fresh ₹1.7
2022-12-16,Investment,5.0,Mutual Fund SIP ₹5.0
2022-12-16,Dining,9.2,KFC Meal ₹9.2
2022-12-18,Healthcare,10.0,Apollo Pharmacy ₹10.0
2022-12-18,Healthcare,6.7,Apollo Pharmacy ₹6.7
2022-12-18,Transport,12.3,Train Ticket ₹12.3
2022-12-19,Groceries,1.4,DMart Purchase ₹1.4
2022-12-19,Food,5.0,Cafe Coffee Day ₹5.0
2022-12-19,Miscellaneous,6.7,Gift Shop ₹6.7
2022-12-20,Education,3.51,Byjus Payment ₹3.51
2022-12-20,Miscellaneous,1.21,Charity ₹1.21
2022-12-20,Transport,10.0,Uber Trip ₹10.0
2022-12-20,Dining,0.5,Barbeque Nation ₹0.5
2022-12-20,Groceries,6.7,Reliance Fresh ₹6.7
2022-12-21,Healthcare,7.0,Diagnostic Center Payment ₹7.0
2022-12-21,Travel,6.7,MakeMyTrip Payment ₹6.7
2022-12-21,Groceries,6.7,More Supermarket ₹6.7
2022-12-21,Shopping,6.7,Ajio Shopping ₹6.7
2022-12-22,Food,3.0,Pizza Hut Bill ₹3.0
2022-12-22,Insurance,7.0,LIC Premium ₹7.0
2022-12-22,Education,6.7,Unacademy Plan ₹6.7
2022-12-23,Bills,1.22,Electricity Bill BSES ₹1.22
2022-12-23,Entertainment,6.0,Netflix Subscription ₹6.0
2022-12-23,Bills,6.7,Electricity Bill BSES ₹6.7
2022-12-23,Food,6.7,Swiggy Payment ₹6.7
2022-12-24,Travel,6.7,MakeMyTrip Payment ₹6.7
2022-12-24,Investment,20.0,PPF Deposit ₹20.0
2022-12-24,Entertainment,6.7,Hotstar Renewal ₹6.7
2022-12-24,Fitness,6.7,Yoga Class ₹6.7
2022-12-24,Shopping,24.0,Ajio Shopping ₹24.0
2022-12-24,Miscellaneous,1.44,Stationery Store ₹1.44
2022-12-25,Fitness,5.2,Yoga Class ₹5.2
2022-12-25,Food,6.7,Swiggy Payment ₹6.7
2022-12-25,Transport,6.7,Train Ticket ₹6.7
2022-12-25,Miscellaneous,13.6,Charity ₹13.6
2022-12-25,Education,6.7,Udemy Course ₹6.7
2022-12-25,Fitness,15.0,Yoga Class ₹15.0
2022-12-26,Investment,2.0,PPF Deposit ₹2.0
2022-12-26,Healthcare,4.0,MedPlus Bill ₹4.0
2022-12-26,Entertainment,3.0,BookMyShow Ticket ₹3.0
2022-12-26,Shopping,15.0,Ajio Shopping ₹15.0
2022-12-26,Transport,6.0,Delhi Metro Recharge ₹6.0
2022-12-26,Healthcare,6.7,Diagnostic Center Payment ₹6.7
2022-12-26,Insurance,3.0,LIC Premium ₹3.0
2022-12-26,Investment,2.23,Stock Purchase ₹2.23
2022-12-27,Dining,1.15,Subway Sandwich ₹1.15
2022-12-27,Education,6.7,Unacademy Plan ₹6.7
2022-12-27,Insurance,3.0,LIC Premium ₹3.0
2022-12-27,Education,6.7,Byjus Payment ₹6.7
2022-12-27,Entertainment,13.5,Spotify Payment ₹13.5
2022-12-27,Travel,4.0,MakeMyTrip Payment ₹4.0
2022-12-28,Education,10.0,Coursera Subscription ₹10.0
2022-12-28,Travel,15.0,OYO Rooms Booking ₹15.0
2022-12-28,Education,20.0,Unacademy Plan ₹20.0
2022-12-28,Travel,16.0,MakeMyTrip Payment ₹16.0
2022-12-28,Healthcare,1.0,Diagnostic Center Payment ₹1.0
2022-12-28,Groceries,6.7,DMart Purchase ₹6.7
2022-12-28,Groceries,10.0,BigBasket Order ₹10.0
2022-12-28,Food,3.8,Zomato Order ₹3.8
2022-12-29,Travel,2.4,MakeMyTrip Payment ₹2.4
2022-12-29,Food,3.63,Pizza Hut Bill ₹3.63
2022-12-29,Groceries,10.7,Reliance Fresh ₹10.7
2022-12-29,Insurance,6.7,LIC Premium ₹6.7
2022-12-29,Entertainment,4.0,YouTube Premium ₹4.0
2022-12-29,Bills,2.0,Water Bill ₹2.0
2022-12-29,Insurance,5.0,Car Insurance ₹5.0
2022-12-30,Shopping,1.8,TataCliq Payment ₹1.8
2022-12-30,Insurance,6.0,LIC Premium ₹6.0
2022-12-30,Food,6.7,Dominos Order ₹6.7
2022-12-30,Investment,6.7,Mutual Fund SIP ₹6.7
2022-12-30,Investment,34.0,PPF Deposit ₹34.0
2022-12-31,Miscellaneous,17.0,Charity ₹17.0
2023-01-01,Insurance,52.0,LIC Premium ₹52.0
2023-01-01,Investment,20.0,Stock Purchase ₹20.0
2023-01-01,Insurance,6.7,Car Insurance ₹6.7
2023-01-01,Food,6.7,Burger King Payment ₹6.7
2023-01-02,Shopping,0.8,Flipkart Order ₹0.8
2023-01-02,Bills,13.9,Water Bill ₹13.9
2023-01-02,Bills,6.7,Jio Fiber Recharge ₹6.7
2023-01-02,Groceries,6.7,More Supermarket ₹6.7
2023-01-02,Fitness,6.7,Protein Supplement ₹6.7
2023-01-02,Education,7.0,Coursera Subscription ₹7.0
2023-01-02,Dining,6.9,Barbeque Nation ₹6.9
2023-01-02,Insurance,23.0,LIC Premium ₹23.0
2023-01-03,Education,6.7,Byjus Payment ₹6.7
2023-01-03,Fitness,6.7,Yoga Class ₹6.7
2023-01-03,Entertainment,6.7,Hotstar Renewal ₹6.7
2023-01-03,Groceries,3.7,Reliance Fresh ₹3.7
2023-01-04,Fitness,6.7,Gym Membership ₹6.7
2023-01-04,Education,6.7,Skillshare Membership ₹6.7
2023-01-04,Food,14.0,Swiggy Payment ₹14.0
2023-01-04,Healthcare,43.2,Apollo Pharmacy ₹43.2
2023-01-04,Dining,7.47,Barbeque Nation ₹7.47
2023-01-05,Entertainment,2.11,YouTube Premium ₹2.11
2023-01-05,Insurance,6.0,LIC Premium ₹6.0
2023-01-05,Shopping,68.0,Ajio Shopping ₹68.0
2023-01-05,Travel,2.14,Air India Flight ₹2.14
2023-01-05,Investment,6.7,Crypto Investment ₹6.7
2023-01-05,Miscellaneous,1.44,Gift Shop ₹1.44
2023-01-06,Dining,17.0,KFC Meal ₹17.0
2023-01-06,Investment,4.4,Crypto Investment ₹4.4
2023-01-06,Transport,6.7,Train Ticket ₹6.7
2023-01-06,Education,6.7,Byjus Payment ₹6.7
2023-01-07,Groceries,6.7,BigBasket Order ₹6.7
2023-01-07,Entertainment,0.9,Spotify Payment ₹0.9
2023-01-07,Groceries,7.6,Reliance Fresh ₹7.6
2023-01-07,Food,5.0,Cafe Coffee Day ₹5.0
2023-01-07,Dining,5.4,McDonalds Bill ₹5.4
2023-01-08,Entertainment,6.7,Hotstar Renewal ₹6.7
2023-01-08,Food,6.7,Burger King Payment ₹6.7
2023-01-08,Miscellaneous,6.7,Petrol Pump ₹6.7
2023-01-08,Groceries,6.7,BigBasket Order ₹6.7
2023-01-09,Education,7.0,Unacademy Plan ₹7.0
2023-01-09,Shopping,2.0,Amazon Purchase ₹2.0
2023-01-09,Shopping,0.88,Flipkart Order ₹0.88
2023-01-10,Shopping,55.0,Ajio Shopping ₹55.0
2023-01-10,Entertainment,2.5,Netflix Subscription ₹2.5
2023-01-10,Investment,6.0,Mutual Fund SIP ₹6.0
2023-01-10,Bills,5.0,Water Bill ₹5.0
2023-01-10,Food,14.0,Pizza Hut Bill ₹14.0
2023-01-10,Transport,1.88,Delhi Metro Recharge ₹1.88
2023-01-10,Entertainment,2.0,YouTube Premium ₹2.0
2023-01-10,Travel,1.0,IRCTC Train Ticket ₹1.0
2023-01-11,Insurance,11.2,Car Insurance ₹11.2
2023-01-11,Groceries,0.5,BigBasket Order ₹0.5
2023-01-11,Food,6.4,Swiggy Payment ₹6.4
2023-01-11,Fitness,6.7,CultFit Subscription ₹6.7
2023-01-11,Fitness,4.0,Gym Membership ₹4.0
2023-01-13,Insurance,6.7,Health Insurance ₹6.7
2023-01-13,Transport,6.7,Cab Fare ₹6.7
2023-01-13,Fitness,9.0,Gym Membership ₹9.0
2023-01-13,Healthcare,16.0,MedPlus Bill ₹16.0
2023-01-13,Education,6.3,Udemy Course ₹6.3
2023-01-14,Groceries,13.6,More Supermarket ₹13.6
2023-01-14,Bills,6.7,Internet Bill ₹6.7
2023-01-14,Miscellaneous,6.7,Stationery Store ₹6.7
2023-01-14,Groceries,5.0,BigBasket Order ₹5.0
2023-01-14,Investment,20.0,Mutual Fund SIP ₹20.0
2023-01-15,Shopping,2.1,Flipkart Order ₹2.1
2023-01-15,Dining,0.7,McDonalds Bill ₹0.7
2023-01-15,Bills,5.3,Water Bill ₹5.3
2023-01-15,Dining,6.7,McDonalds Bill ₹6.7
2023-01-15,Transport,6.7,Train Ticket ₹6.7
2023-01-15,Travel,6.7,OYO Rooms Booking ₹6.7
2023-01-15,Insurance,3.0,LIC Premium ₹3.0
2023-01-15,Education,1.7,Byjus Payment ₹1.7
2023-01-15,Miscellaneous,6.0,Donation ₹6.0
2023-01-15,Entertainment,1.5,YouTube Premium ₹1.5
2023-01-16,Food,2.55,Swiggy Payment ₹2.55
2023-01-16,Transport,0.7,Uber Trip ₹0.7
2023-01-16,Dining,9.0,KFC Meal ₹9.0
2023-01-16,Groceries,2.0,DMart Purchase ₹2.0
2023-01-16,Entertainment,1.4,Netflix Subscription ₹1.4
2023-01-17,Transport,2.45,Train Ticket ₹2.45
2023-01-17,Healthcare,11.0,Apollo Pharmacy ₹11.0
2023-01-17,Food,174.0,Cafe Coffee Day ₹174.0
2023-01-17,Insurance,2.13,LIC Premium ₹2.13
2023-01-17,Insurance,6.7,Car Insurance ₹6.7
2023-01-17,Healthcare,7.2,Doctor Visit ₹7.2
2023-01-18,Healthcare,1.75,Doctor Visit ₹1.75
2023-01-18,Travel,10.0,OYO Rooms Booking ₹10.0
2023-01-18,Food,1.74,Zomato Order ₹1.74
2023-01-18,Travel,7.9,OYO Rooms Booking ₹7.9
2023-01-18,Shopping,4.18,Amazon Purchase ₹4.18
2023-01-18,Groceries,36.0,BigBasket Order ₹36.0
2023-01-19,Fitness,9.0,Yoga Class ₹9.0
2023-01-19,Food,0.52,Zomato Order ₹0.52
2023-01-19,Food,6.7,Pizza Hut Bill ₹6.7
2023-01-20,Transport,1.7,Rapido Ride ₹1.7
2023-01-20,Dining,0.5,McDonalds Bill ₹0.5
2023-01-20,Dining,13.9,McDonalds Bill ₹13.9
2023-01-20,Education,6.7,Byjus Payment ₹6.7
2023-01-20,Healthcare,6.7,Doctor Visit ₹6.7
2023-01-20,Education,5.0,Coursera Subscription ₹5.0
2023-01-20,Healthcare,1.0,Apollo Pharmacy ₹1.0
2023-01-20,Investment,5.8,Mutual Fund SIP ₹5.8
2023-01-20,Education,18.0,Byjus Payment ₹18.0
2023-01-21,Insurance,13.9,Car Insurance ₹13.9
2023-01-21,Fitness,6.7,Protein Supplement ₹6.7
2023-01-21,Entertainment,6.7,YouTube Premium ₹6.7
2023-01-21,Fitness,13.0,Yoga Class ₹13.0
2023-01-21,Transport,5.0,Delhi Metro Recharge ₹5.0
2023-01-22,Education,1.6,Unacademy Plan ₹1.6
2023-01-22,Travel,13.9,IRCTC Train Ticket ₹13.9
2023-01-22,Education,6.7,Byjus Payment ₹6.7
2023-01-22,Healthcare,11.0,Diagnostic Center Payment ₹11.0
2023-01-22,Food,1.6,Pizza Hut Bill ₹1.6
2023-01-22,Investment,1.0,Crypto Investment ₹1.0
2023-01-22,Shopping,3.8,Amazon Purchase ₹3.8
2023-01-23,Education,3.8,Coursera Subscription ₹3.8
2023-01-23,Entertainment,8.4,Spotify Payment ₹8.4
2023-01-23,Shopping,1.9,Amazon Purchase ₹1.9
2023-01-23,Investment,3.0,Crypto Investment ₹3.0
2023-01-23,Education,6.7,Udemy Course ₹6.7
2023-01-24,Healthcare,8.0,Apollo Pharmacy ₹8.0
2023-01-24,Fitness,3.0,Gym Membership ₹3.0
2023-01-24,Food,35.0,Zomato Order ₹35.0
2023-01-24,Education,13.9,Coursera Subscription ₹13.9
2023-01-25,Entertainment,3.0,Netflix Subscription ₹3.0
