date,amount,description
2023-01-19 09:27:35 +0000,9,Yoga Class ₹9.0
2023-01-19 09:27:40 +0000,0.52,Zomato Order ₹0.52
2023-01-19 14:32:14 +0000,6.7,Pizza Hut Bill ₹6.7
2023-01-20 07:49:47 +0000,1.7,Rapido Ride ₹1.7
2023-01-20 07:49:50 +0000,0.5,McDonalds Bill ₹0.5
2023-01-20 07:51:37 +0000,13.9,McDonalds Bill ₹13.9
2023-01-20 09:51:54 +0000,6.7,Byjus Payment ₹6.7
2023-01-20 12:38:09 +0000,6.7,Doctor Visit ₹6.7
2023-01-20 14:29:52 +0000,5,Coursera Subscription ₹5.0
2023-01-20 14:56:06 +0000,1,Apollo Pharmacy ₹1.0
2023-01-20 19:11:23 +0000,5.8,Mutual Fund SIP ₹5.8
2023-01-20 19:14:44 +0000,18,Byjus Payment ₹18.0
2023-01-21 07:15:25 +0000,13.9,Car Insurance ₹13.9
2023-01-21 09:32:44 +0000,6.7,Protein Supplement ₹6.7
2023-01-21 12:29:15 +0000,6.7,YouTube Premium ₹6.7
2023-01-21 16:45:34 +0000,13,Yoga Class ₹13.0
2023-01-21 20:13:19 +0000,5,Delhi Metro Recharge ₹5.0
2023-01-22 07:28:08 +0000,1.6,Unacademy Plan ₹1.6
2023-01-22 07:42:27 +0000,13.9,IRCTC Train Ticket ₹13.9
2023-01-22 11:42:19 +0000,6.7,Byjus Payment ₹6.7
2023-01-22 11:42:22 +0000,11,Diagnostic Center Payment ₹11.0
2023-01-22 14:57:36 +0000,1.6,Pizza Hut Bill ₹1.6
2023-01-22 16:05:54 +0000,1,Crypto Investment ₹1.0
2023-01-22 16:56:49 +0000,3.8,Amazon Purchase ₹3.8
2023-01-23 05:07:02 +0000,3.8,Coursera Subscription ₹3.8
2023-01-23 09:07:46 +0000,8.4,Spotify Payment ₹8.4
2023-01-23 10:29:51 +0000,1.9,Amazon Purchase ₹1.9
2023-01-23 14:53:46 +0000,3,Crypto Investment ₹3.0
2023-01-23 14:53:49 +0000,6.7,Udemy Course ₹6.7
2023-01-24 09:01:51 +0000,8,Apollo Pharmacy ₹8.0
2023-01-24 10:12:58 +0000,3,Gym Membership ₹3.0
2023-01-24 13:15:39 +0000,35,Zomato Order ₹35.0
2023-01-24 14:39:20 +0000,13.9,Coursera Subscription ₹13.9
2023-01-25 04:49:24 +0000,3,Netflix Subscription ₹3.0
2023-01-25 06:27:04 +0000,1.28,MedPlus Bill ₹1.28
2023-01-25 08:58:45 +0000,2.7,Electricity Bill BSES ₹2.7
2023-01-25 09:08:18 +0000,1.28,Health Insurance ₹1.28
2023-01-25 09:48:04 +0000,1.14,Car Insurance ₹1.14
2023-01-25 11:45:11 +0000,6.7,Stationery Store ₹6.7
2023-01-25 12:56:41 +0000,6.7,MedPlus Bill ₹6.7
2023-01-25 17:14:40 +0000,1.28,Health Insurance ₹1.28
2023-01-25 19:47:20 +0000,10,McDonalds Bill ₹10.0
2023-01-26 04:17:51 +0000,20,Ajio Shopping ₹20.0
2023-01-26 04:17:59 +0000,441,Flipkart Order ₹441.0
2023-01-26 12:42:45 +0000,5.3,Udemy Course ₹5.3
2023-01-26 12:52:40 +0000,6.7,Myntra Order ₹6.7
2023-01-26 14:47:23 +0000,6.7,Cab Fare ₹6.7
2023-01-26 16:56:45 +0000,16,Rapido Ride ₹16.0
2023-01-26 17:50:57 +0000,24.33,Barbeque Nation ₹24.33
2023-01-27 08:31:09 +0000,6.7,Protein Supplement ₹6.7
2023-01-27 10:10:37 +0000,6.7,Reliance Fresh ₹6.7
2023-01-27 14:27:30 +0000,6.7,More Supermarket ₹6.7
2023-01-27 17:20:19 +0000,6.9,Stationery Store ₹6.9
2023-01-27 17:47:12 +0000,5,Amazon Purchase ₹5.0
2023-01-27 18:35:24 +0000,4,Spotify Payment ₹4.0
2023-01-28 08:50:54 +0000,0.72,Udemy Course ₹0.72
2023-01-28 10:46:18 +0000,7.2,LIC Premium ₹7.2
2023-01-28 10:53:00 +0000,6.7,Coursera Subscription ₹6.7
2023-01-28 12:32:30 +0000,6.7,LIC Premium ₹6.7
2023-01-28 14:24:52 +0000,6.7,Spotify Payment ₹6.7
2023-01-28 16:14:11 +0000,6.7,Gym Membership ₹6.7
2023-01-28 18:10:55 +0000,36,Water Bill ₹36.0
2023-01-28 18:13:28 +0000,11.64,Pizza Hut Bill ₹11.64
2023-01-29 06:07:12 +0000,6.7,Yoga Class ₹6.7
2023-01-29 09:15:07 +0000,13.9,Water Bill ₹13.9
2023-01-29 10:55:54 +0000,5.3,Mutual Fund SIP ₹5.3
2023-01-29 21:21:52 +0000,2.78,Health Insurance ₹2.78
2023-01-29 21:22:06 +0000,1,Protein Supplement ₹1.0
2023-01-29 21:22:07 +0000,1,OYO Rooms Booking ₹1.0
2023-01-29 21:22:13 +0000,110,Stationery Store ₹110.0
2023-01-29 21:26:54 +0000,5,Doctor Visit ₹5.0
2023-01-30 09:54:43 +0000,12,Myntra Order ₹12.0
2023-01-30 11:43:52 +0000,5,Rapido Ride ₹5.0
2023-01-30 11:43:54 +0000,5,MedPlus Bill ₹5.0
2023-01-30 13:56:36 +0000,2,Donation ₹2.0
2023-01-30 13:56:38 +0000,6.7,CultFit Subscription ₹6.7
2023-01-30 15:50:56 +0000,5.3,Water Bill ₹5.3
2023-01-30 16:16:10 +0000,25,Delhi Metro Recharge ₹25.0
2023-01-30 16:34:31 +0000,6.7,Pizza Hut Bill ₹6.7
2023-01-30 17:43:10 +0000,11,Unacademy Plan ₹11.0
2023-01-30 18:26:44 +0000,1.4,More Supermarket ₹1.4
2023-01-31 06:55:07 +0000,5,Rapido Ride ₹5.0
2023-01-31 07:10:48 +0000,6.7,Petrol Pump ₹6.7
2023-01-31 07:13:30 +0000,8.2,BigBasket Order ₹8.2
2023-01-31 09:59:07 +0000,6.7,Crypto Investment ₹6.7
2023-01-31 12:35:34 +0000,5.5,Subway Sandwich ₹5.5
2023-01-31 14:30:17 +0000,5.5,Subway Sandwich ₹5.5
2023-01-31 16:32:28 +0000,5.8,YouTube Premium ₹5.8
2023-02-01 09:12:34 +0000,2,Health Insurance ₹2.0
2023-02-01 10:39:56 +0000,6.9,Train Ticket ₹6.9
2023-02-01 14:31:29 +0000,6.7,Hotstar Renewal ₹6.7
2023-02-01 15:36:53 +0000,8.2,PPF Deposit ₹8.2
2023-02-01 17:28:43 +0000,6.7,More Supermarket ₹6.7
2023-02-02 10:06:31 +0000,5,Coursera Subscription ₹5.0
2023-02-02 10:06:51 +0000,0.6,Stock Purchase ₹0.6
2023-02-02 14:47:42 +0000,13,Reliance Fresh ₹13.0
2023-02-03 08:59:07 +0000,5,YouTube Premium ₹5.0
2023-02-03 09:44:06 +0000,8.78,DMart Purchase ₹8.78
2023-02-03 10:07:59 +0000,6,Air India Flight ₹6.0
2023-02-03 15:32:38 +0000,0.8,MakeMyTrip Payment ₹0.8
2023-02-03 16:04:48 +0000,5.5,Stock Purchase ₹5.5
2023-02-03 17:20:29 +0000,13,Gift Shop ₹13.0
2023-02-03 21:30:55 +0000,12,Car Insurance ₹12.0
2023-02-03 21:48:24 +0000,4,Stationery Store ₹4.0
2023-02-04 09:38:22 +0000,68,PPF Deposit ₹68.0
2023-02-04 10:03:26 +0000,6,Reliance Fresh ₹6.0
2023-02-04 13:04:48 +0000,20,YouTube Premium ₹20.0
2023-02-04 13:04:52 +0000,3,Myntra Order ₹3.0
2023-02-04 15:14:13 +0000,11,MedPlus Bill ₹11.0
2023-02-04 16:18:45 +0000,58.6,Protein Supplement ₹58.6
2023-02-04 17:12:56 +0000,3.5,Doctor Visit ₹3.5
2023-02-05 09:48:28 +0000,13,Car Insurance ₹13.0
2023-02-05 09:48:30 +0000,3,Electricity Bill BSES ₹3.0
2023-02-05 12:00:07 +0000,5.5,Car Insurance ₹5.5
2023-02-05 13:00:11 +0000,5.5,TataCliq Payment ₹5.5
2023-02-04 20:09:00 +0000,3.5,CultFit Subscription ₹3.5
2023-02-04 20:09:00 +0000,51,BookMyShow Ticket ₹51.0
2023-02-04 20:23:11 +0000,11.15,Crypto Investment ₹11.15
2023-02-06 09:54:43 +0000,1.5,Hotstar Renewal ₹1.5
2023-02-06 10:19:51 +0000,6.7,Pizza Hut Bill ₹6.7
2023-02-06 14:56:39 +0000,5.5,Stock Purchase ₹5.5
2023-02-06 16:05:03 +0000,5.3,PPF Deposit ₹5.3
2023-02-07 08:46:59 +0000,0.6,Train Ticket ₹0.6
2023-02-07 10:03:01 +0000,14,IRCTC Train Ticket ₹14.0
2023-02-07 15:05:49 +0000,3.12,Ajio Shopping ₹3.12
2023-02-07 15:35:07 +0000,20.5,Gym Membership ₹20.5
2023-02-07 16:41:20 +0000,3.8,Health Insurance ₹3.8
2023-02-08 04:54:41 +0000,0.8,BigBasket Order ₹0.8
2023-02-08 09:28:07 +0000,10,Dominos Order ₹10.0
2023-02-08 15:24:19 +0000,5,Gym Membership ₹5.0
2023-02-08 15:24:26 +0000,7.17,Donation ₹7.17
2023-02-08 16:06:36 +0000,4.72,Ajio Shopping ₹4.72
2023-02-08 16:09:58 +0000,18,Rapido Ride ₹18.0
2023-02-09 08:31:40 +0000,1,Mutual Fund SIP ₹1.0
2023-02-09 09:52:40 +0000,8.4,DMart Purchase ₹8.4
2023-02-09 14:55:05 +0000,40,Ola Ride ₹40.0
2023-02-09 16:04:31 +0000,3.12,LIC Premium ₹3.12
2023-02-09 16:54:03 +0000,4.44,Apollo Pharmacy ₹4.44
2023-02-10 07:05:50 +0000,0.6,More Supermarket ₹0.6
2023-02-10 10:13:48 +0000,10,McDonalds Bill ₹10.0
2023-02-10 14:22:20 +0000,1,Netflix Subscription ₹1.0
2023-02-10 16:54:18 +0000,3.12,Yoga Class ₹3.12
2023-02-10 17:13:02 +0000,17,Swiggy Payment ₹17.0
2023-02-10 17:18:02 +0000,10.5,Stationery Store ₹10.5
2023-02-10 17:27:47 +0000,1,Pizza Hut Bill ₹1.0
2023-02-11 10:25:18 +0000,5.5,Uber Trip ₹5.5
2023-02-11 13:23:43 +0000,5.3,McDonalds Bill ₹5.3
2023-02-12 18:08:00 +0000,120,Gym Membership ₹120.0
2023-02-13 09:46:37 +0000,8.4,MedPlus Bill ₹8.4
2023-02-13 15:13:05 +0000,30,PPF Deposit ₹30.0
2023-02-13 15:25:27 +0000,0.5,Barbeque Nation ₹0.5
2023-02-13 15:25:42 +0000,0.44,Doctor Visit ₹0.44
2023-02-13 16:50:23 +0000,181,Apollo Pharmacy ₹181.0
2023-02-14 06:59:21 +0000,3,Electricity Bill BSES ₹3.0
2023-02-14 09:28:51 +0000,10,Car Insurance ₹10.0
2023-02-14 15:49:44 +0000,7.3,Mutual Fund SIP ₹7.3
2023-02-15 09:54:32 +0000,10,Myntra Order ₹10.0
2023-02-15 09:54:39 +0000,1.3,Subway Sandwich ₹1.3
2023-02-15 15:26:08 +0000,1,Byjus Payment ₹1.0
2023-02-15 16:20:29 +0000,4.25,Spotify Payment ₹4.25
2023-02-16 04:40:45 +0000,0.7,Petrol Pump ₹0.7
2023-02-16 09:39:56 +0000,10,Dominos Order ₹10.0
2023-02-16 15:21:21 +0000,4.47,Uber Trip ₹4.47
2023-02-17 04:16:49 +0000,15,Health Insurance ₹15.0
2023-02-17 09:45:34 +0000,10,CultFit Subscription ₹10.0
2023-02-17 10:01:30 +0000,50,Unacademy Plan ₹50.0
2023-02-17 16:30:40 +0000,3.12,YouTube Premium ₹3.12
2023-02-17 17:21:21 +0000,13.6,Uber Trip ₹13.6
2023-02-18 09:40:18 +0000,5,Amazon Purchase ₹5.0
2023-02-18 10:09:42 +0000,5.3,Delhi Metro Recharge ₹5.3
2023-02-18 10:09:47 +0000,6.7,Flipkart Order ₹6.7
2023-02-18 13:00:02 +0000,6.7,MakeMyTrip Payment ₹6.7
2023-02-18 14:54:26 +0000,6.7,Apollo Pharmacy ₹6.7
2023-02-17 20:09:00 +0000,22,Stationery Store ₹22.0
2023-02-17 20:10:00 +0000,5,Reliance Fresh ₹5.0
2023-02-19 05:31:13 +0000,2.15,Amazon Purchase ₹2.15
2023-02-19 06:36:34 +0000,6.7,Ola Ride ₹6.7
2023-02-19 09:28:15 +0000,18.2,PPF Deposit ₹18.2
2023-02-19 11:59:04 +0000,0.52,Barbeque Nation ₹0.52
2023-02-19 13:00:13 +0000,0.52,Burger King Payment ₹0.52
2023-02-19 13:32:15 +0000,6.9,DMart Purchase ₹6.9
2023-02-19 19:56:35 +0000,1.35,Amazon Purchase ₹1.35
2023-02-19 19:56:42 +0000,31,Electricity Bill BSES ₹31.0
2023-02-20 04:35:42 +0000,2,Jio Fiber Recharge ₹2.0
2023-02-20 09:45:27 +0000,10,Uber Trip ₹10.0
2023-02-20 15:33:54 +0000,7,Petrol Pump ₹7.0
2023-02-21 05:20:22 +0000,2.22,Subway Sandwich ₹2.22
2023-02-21 06:01:59 +0000,1,MakeMyTrip Payment ₹1.0
2023-02-21 09:58:10 +0000,10.53,MedPlus Bill ₹10.53
2023-02-22 04:26:05 +0000,1.4,BigBasket Order ₹1.4
2023-02-22 10:21:35 +0000,11,Gym Membership ₹11.0
2023-02-22 14:38:35 +0000,0.6,Yoga Class ₹0.6
2023-02-22 14:38:39 +0000,5,Pizza Hut Bill ₹5.0
2023-02-22 16:29:47 +0000,2.2,Reliance Fresh ₹2.2
2023-02-23 17:50:45 +0000,1.25,Barbeque Nation ₹1.25
2023-02-23 17:50:57 +0000,10,Doctor Visit ₹10.0
2023-02-23 17:51:15 +0000,1.3,OYO Rooms Booking ₹1.3
2023-02-23 19:17:00 +0000,35,Jio Fiber Recharge ₹35.0
2023-02-24 04:14:06 +0000,1.2,PPF Deposit ₹1.2
2023-02-24 09:22:28 +0000,10,Flipkart Order ₹10.0
2023-02-24 18:04:52 +0000,25,Burger King Payment ₹25.0
2023-02-25 07:21:28 +0000,6.7,CultFit Subscription ₹6.7
2023-02-25 07:21:35 +0000,5.3,DMart Purchase ₹5.3
2023-02-25 10:12:24 +0000,6.7,Doctor Visit ₹6.7
2023-02-25 12:35:31 +0000,8.5,Gym Membership ₹8.5
2023-02-25 19:33:01 +0000,5,BigBasket Order ₹5.0
2023-02-25 19:33:08 +0000,3,Water Bill ₹3.0
2023-02-25 19:33:12 +0000,3,KFC Meal ₹3.0
2023-02-26 06:52:41 +0000,15,Charity ₹15.0
2023-02-26 09:26:08 +0000,6.7,Delhi Metro Recharge ₹6.7
2023-02-26 11:33:34 +0000,10.44,Stock Purchase ₹10.44
2023-02-26 13:42:14 +0000,5.3,Air India Flight ₹5.3
2023-02-26 13:50:01 +0000,11.3,Myntra Order ₹11.3
2023-02-26 16:31:02 +0000,5.9,Hotstar Renewal ₹5.9
2023-02-27 07:08:20 +0000,1.3,Reliance Fresh ₹1.3
2023-02-27 09:23:05 +0000,10,DMart Purchase ₹10.0
2023-02-27 14:36:22 +0000,3,Subway Sandwich ₹3.0
2023-02-27 17:49:46 +0000,68,CultFit Subscription ₹68.0
2023-02-27 17:49:59 +0000,3.54,Internet Bill ₹3.54
2023-02-27 19:10:28 +0000,9.57,Coursera Subscription ₹9.57
2023-02-28 05:01:35 +0000,7.15,Udemy Course ₹7.15
2023-02-28 09:38:54 +0000,10,Internet Bill ₹10.0
2023-02-28 17:17:19 +0000,5.3,Charity ₹5.3
2023-03-01 10:14:07 +0000,10,Donation ₹10.0
2023-03-01 13:49:10 +0000,10,Protein Supplement ₹10.0
2023-03-01 16:13:18 +0000,210,Air India Flight ₹210.0
2023-03-01 16:13:20 +0000,56,Hotstar Renewal ₹56.0
2023-03-01 16:13:24 +0000,10,Donation ₹10.0
2023-03-01 16:13:28 +0000,2.3,Yoga Class ₹2.3
2023-03-01 16:35:20 +0000,7,Cab Fare ₹7.0
2023-03-01 20:45:15 +0000,3,Dominos Order ₹3.0
2023-03-01 20:45:17 +0000,5,Myntra Order ₹5.0
2023-03-02 09:44:52 +0000,10.53,OYO Rooms Booking ₹10.53
2023-03-02 11:51:43 +0000,20,Barbeque Nation ₹20.0
2023-03-02 15:08:42 +0000,9.44,DMart Purchase ₹9.44
2023-03-02 17:53:46 +0000,11.13,Delhi Metro Recharge ₹11.13
2023-03-03 04:54:52 +0000,0.75,TataCliq Payment ₹0.75
2023-03-03 12:07:51 +0000,10,Myntra Order ₹10.0
2023-03-03 18:13:45 +0000,77.1,Doctor Visit ₹77.1
2023-03-03 18:13:48 +0000,12,Car Insurance ₹12.0
2023-03-04 06:29:02 +0000,9,Water Bill ₹9.0
2023-03-04 08:51:57 +0000,200,Delhi Metro Recharge ₹200.0
2023-03-04 10:28:24 +0000,52,Spotify Payment ₹52.0
2023-03-04 15:07:28 +0000,6.7,Udemy Course ₹6.7
2023-03-04 15:07:30 +0000,6.7,Stationery Store ₹6.7
2023-03-04 16:57:03 +0000,3.6,Health Insurance ₹3.6
2023-03-05 06:57:22 +0000,6.7,Delhi Metro Recharge ₹6.7
2023-03-05 09:34:22 +0000,14.2,Protein Supplement ₹14.2
2023-03-05 13:42:51 +0000,1,TataCliq Payment ₹1.0
2023-03-05 14:18:00 +0000,5.4,DMart Purchase ₹5.4
2023-03-05 21:27:41 +0000,25,Doctor Visit ₹25.0
2023-03-06 05:04:31 +0000,0.9,Dominos Order ₹0.9
2023-03-06 07:51:59 +0000,68,Stock Purchase ₹68.0
2023-03-06 17:04:21 +0000,5.4,Mutual Fund SIP ₹5.4
2023-03-06 17:14:56 +0000,2.05,MedPlus Bill ₹2.05
2023-03-07 10:55:13 +0000,13,YouTube Premium ₹13.0
2023-03-07 10:55:15 +0000,60,Pizza Hut Bill ₹60.0
2023-03-07 12:06:48 +0000,1.34,KFC Meal ₹1.34
2023-03-07 17:13:56 +0000,5.4,Crypto Investment ₹5.4
2023-03-07 18:14:03 +0000,5,Dominos Order ₹5.0
2023-03-08 06:26:36 +0000,3,Subway Sandwich ₹3.0
2023-03-08 10:32:12 +0000,10.8,Udemy Course ₹10.8
2023-03-08 12:17:10 +0000,7.1,MakeMyTrip Payment ₹7.1
2023-03-08 15:33:58 +0000,5.4,Amazon Purchase ₹5.4
2023-03-08 16:34:34 +0000,3.25,DMart Purchase ₹3.25
2023-03-08 16:34:36 +0000,0.9,Mutual Fund SIP ₹0.9
2023-03-09 05:20:53 +0000,1,Donation ₹1.0
2023-03-09 09:38:33 +0000,13.12,Barbeque Nation ₹13.12
2023-03-09 15:22:03 +0000,5,CultFit Subscription ₹5.0
2023-03-09 17:33:13 +0000,3.12,DMart Purchase ₹3.12
2023-03-09 17:54:19 +0000,6.46,BigBasket Order ₹6.46
2023-03-11 08:04:50 +0000,19,Health Insurance ₹19.0
2023-03-11 08:05:11 +0000,150,Netflix Subscription ₹150.0
2023-03-11 08:22:51 +0000,16,Ajio Shopping ₹16.0
2023-03-11 10:23:30 +0000,7,Diagnostic Center Payment ₹7.0
2023-03-11 19:05:06 +0000,36,More Supermarket ₹36.0
2023-03-12 08:07:34 +0000,39,Swiggy Payment ₹39.0
2023-03-12 08:07:38 +0000,7.1,OYO Rooms Booking ₹7.1
2023-03-12 11:23:50 +0000,7.1,CultFit Subscription ₹7.1
2023-03-12 13:54:18 +0000,9,Unacademy Plan ₹9.0
2023-03-11 20:41:00 +0000,5,Mutual Fund SIP ₹5.0
2023-03-11 20:41:59 +0000,10,CultFit Subscription ₹10.0
2023-03-13 10:43:53 +0000,10,IRCTC Train Ticket ₹10.0
2023-03-13 17:07:17 +0000,7.1,Flipkart Order ₹7.1
2023-03-13 17:07:19 +0000,3.12,Myntra Order ₹3.12
2023-03-13 19:12:58 +0000,5,Zomato Order ₹5.0
2023-03-13 19:33:20 +0000,13.51,Airtel Postpaid ₹13.51
2023-03-14 09:44:45 +0000,10,Unacademy Plan ₹10.0
2023-03-14 14:43:01 +0000,7.1,MakeMyTrip Payment ₹7.1
2023-03-14 17:45:39 +0000,5.4,Reliance Fresh ₹5.4
2023-03-14 18:50:41 +0000,9.24,Hotstar Renewal ₹9.24
2023-03-15 09:50:30 +0000,9,Spotify Payment ₹9.0
2023-03-15 10:00:59 +0000,0.7,Health Insurance ₹0.7
2023-03-15 15:38:43 +0000,7.3,Subway Sandwich ₹7.3
2023-03-15 17:40:06 +0000,7.1,Gym Membership ₹7.1
2023-03-14 21:21:30 +0000,7.52,Pizza Hut Bill ₹7.52
2023-03-14 21:21:00 +0000,5.4,MakeMyTrip Payment ₹5.4
2023-03-16 09:57:04 +0000,8.4,Hotstar Renewal ₹8.4
2023-03-16 15:41:33 +0000,7.1,Doctor Visit ₹7.1
2023-03-16 17:06:00 +0000,9,Myntra Order ₹9.0
2023-03-16 17:06:11 +0000,8.5,Stock Purchase ₹8.5
2023-03-16 18:52:37 +0000,6.08,Apollo Pharmacy ₹6.08
2023-03-17 08:16:37 +0000,30,Electricity Bill BSES ₹30.0
2023-03-17 10:10:53 +0000,1,DMart Purchase ₹1.0
2023-03-17 14:31:04 +0000,7.1,BookMyShow Ticket ₹7.1
2023-03-17 15:24:29 +0000,7.1,Stock Purchase ₹7.1
2023-03-17 16:31:47 +0000,8.9,Apollo Pharmacy ₹8.9
2023-03-17 19:29:55 +0000,8.55,Stock Purchase ₹8.55
2023-03-18 06:50:54 +0000,70,Internet Bill ₹70.0
2023-03-18 07:35:31 +0000,7.1,Zomato Order ₹7.1
2023-03-18 09:20:54 +0000,7.1,Uber Trip ₹7.1
2023-03-18 10:35:27 +0000,7.5,Amazon Purchase ₹7.5
2023-03-18 12:57:11 +0000,100,Rapido Ride ₹100.0
2023-03-18 13:20:59 +0000,1,TataCliq Payment ₹1.0
2023-03-18 13:51:51 +0000,7.1,Crypto Investment ₹7.1
2023-03-18 15:24:25 +0000,7,Petrol Pump ₹7.0
2023-03-19 08:33:43 +0000,3,Amazon Purchase ₹3.0
2023-03-19 10:11:32 +0000,7.1,Myntra Order ₹7.1
2023-03-19 10:21:06 +0000,7.1,Spotify Payment ₹7.1
2023-03-19 12:27:20 +0000,1.6,Reliance Fresh ₹1.6
2023-03-19 13:46:18 +0000,7.1,KFC Meal ₹7.1
2023-03-19 15:27:48 +0000,7.1,IRCTC Train Ticket ₹7.1
2023-03-20 09:36:00 +0000,7.1,BookMyShow Ticket ₹7.1
2023-03-20 12:26:11 +0000,7.1,Health Insurance ₹7.1
2023-03-20 12:26:26 +0000,2.3,Jio Fiber Recharge ₹2.3
2023-03-20 15:21:05 +0000,7.1,Netflix Subscription ₹7.1
2023-03-20 15:38:08 +0000,8.9,YouTube Premium ₹8.9
2023-03-20 19:26:15 +0000,19,Cafe Coffee Day ₹19.0
2023-03-20 19:47:10 +0000,4.62,Swiggy Payment ₹4.62
2023-03-20 19:48:40 +0000,1.65,IRCTC Train Ticket ₹1.65
2023-03-21 07:08:47 +0000,7.1,MakeMyTrip Payment ₹7.1
2023-03-21 09:05:47 +0000,7.1,Charity ₹7.1
2023-03-21 14:06:30 +0000,1.4,Coursera Subscription ₹1.4
2023-03-21 14:37:42 +0000,7.1,Zomato Order ₹7.1
2023-03-21 18:07:18 +0000,5,BookMyShow Ticket ₹5.0
2023-03-21 18:57:45 +0000,17,Rapido Ride ₹17.0
2023-03-22 10:06:17 +0000,7.1,Health Insurance ₹7.1
2023-03-22 15:14:39 +0000,9,Airtel Postpaid ₹9.0
2023-03-22 16:17:54 +0000,1,Rapido Ride ₹1.0
2023-03-21 20:33:00 +0000,13,Doctor Visit ₹13.0
2023-03-21 21:17:00 +0000,17.5,BookMyShow Ticket ₹17.5
2023-03-23 08:05:34 +0000,7.3,Airtel Postpaid ₹7.3
2023-03-23 13:31:22 +0000,9.5,Amazon Purchase ₹9.5
2023-03-24 15:26:56 +0000,16,Crypto Investment ₹16.0
2023-03-24 18:21:25 +0000,7.1,Petrol Pump ₹7.1
2023-03-23 20:51:00 +0000,10,Uber Trip ₹10.0
2023-03-25 08:45:00 +0000,12,Doctor Visit ₹12.0
2023-03-25 09:00:47 +0000,26,MedPlus Bill ₹26.0
2023-03-25 10:04:10 +0000,8,Crypto Investment ₹8.0
2023-03-24 20:44:00 +0000,4.34,Swiggy Payment ₹4.34
2023-03-26 15:19:25 +0000,16,TataCliq Payment ₹16.0
2023-03-26 16:52:58 +0000,1.5,Donation ₹1.5
2023-03-26 16:59:52 +0000,7.1,Gift Shop ₹7.1
2023-03-25 20:35:58 +0000,3.6,Jio Fiber Recharge ₹3.6
2023-03-27 19:18:00 +0000,26,Doctor Visit ₹26.0
2023-03-26 20:18:00 +0000,12,Internet Bill ₹12.0
2023-03-27 19:51:57 +0000,10.41,Hotstar Renewal ₹10.41
2023-03-28 14:12:21 +0000,5,Air India Flight ₹5.0
2023-03-28 15:06:52 +0000,10.17,Doctor Visit ₹10.17
2023-03-29 18:16:51 +0000,20,Dominos Order ₹20.0
2023-03-29 04:09:00 +0000,6.5,Udemy Course ₹6.5
2023-03-29 05:21:57 +0000,5,LIC Premium ₹5.0
2023-03-30 10:10:09 +0000,1.61,Charity ₹1.61
2023-03-30 15:07:40 +0000,19.5,OYO Rooms Booking ₹19.5
2023-03-31 06:39:39 +0000,20,DMart Purchase ₹20.0
2023-03-31 10:50:51 +0000,8.9,BigBasket Order ₹8.9
2023-03-31 13:06:22 +0000,28,Yoga Class ₹28.0
2023-03-31 19:40:16 +0000,34,Ajio Shopping ₹34.0
2023-04-01 15:29:15 +0000,14.3,Reliance Fresh ₹14.3
2023-04-01 19:51:41 +0000,5,Petrol Pump ₹5.0
2023-03-31 20:56:00 +0000,20,Donation ₹20.0
2023-04-02 08:52:46 +0000,24,Jio Fiber Recharge ₹24.0
2023-04-02 15:49:05 +0000,10,McDonalds Bill ₹10.0
2023-04-01 21:09:00 +0000,34,Car Insurance ₹34.0
2023-04-03 16:10:19 +0000,1.81,LIC Premium ₹1.81
2023-04-03 19:25:18 +0000,36,Apollo Pharmacy ₹36.0
2023-04-03 19:25:19 +0000,25,McDonalds Bill ₹25.0
2023-04-04 15:28:31 +0000,16,Car Insurance ₹16.0
2023-04-04 16:56:27 +0000,7.1,YouTube Premium ₹7.1
2023-04-05 10:05:17 +0000,68,PPF Deposit ₹68.0
2023-04-05 15:31:58 +0000,16,Subway Sandwich ₹16.0
2023-04-05 16:46:54 +0000,7.1,Electricity Bill BSES ₹7.1
2023-04-05 19:26:58 +0000,37,KFC Meal ₹37.0
2023-04-06 15:32:22 +0000,16,McDonalds Bill ₹16.0
2023-04-06 17:41:48 +0000,7.1,Electricity Bill BSES ₹7.1
2023-04-05 20:21:00 +0000,11,YouTube Premium ₹11.0
2023-04-07 15:33:39 +0000,16,OYO Rooms Booking ₹16.0
2023-04-06 20:51:00 +0000,85,Apollo Pharmacy ₹85.0
2023-04-08 15:32:07 +0000,16,YouTube Premium ₹16.0
2023-04-08 17:24:35 +0000,8.13,Dominos Order ₹8.13
2023-04-08 19:14:06 +0000,5,LIC Premium ₹5.0
2023-04-07 20:19:00 +0000,15.83,Jio Fiber Recharge ₹15.83
2023-04-09 09:56:22 +0000,10,Doctor Visit ₹10.0
2023-04-09 15:33:07 +0000,16,TataCliq Payment ₹16.0
2023-04-09 17:06:23 +0000,7.9,PPF Deposit ₹7.9
2023-04-08 20:45:00 +0000,32,Udemy Course ₹32.0
2023-04-10 18:18:12 +0000,7.2,PPF Deposit ₹7.2
2023-04-10 19:16:41 +0000,223,LIC Premium ₹223.0
2023-04-09 20:35:58 +0000,4.23,McDonalds Bill ₹4.23
2023-04-11 14:13:16 +0000,39.2,Delhi Metro Recharge ₹39.2
2023-04-11 15:37:54 +0000,14.6,Coursera Subscription ₹14.6
2023-04-11 16:33:10 +0000,7.1,Air India Flight ₹7.1
2023-04-10 20:40:00 +0000,18.32,DMart Purchase ₹18.32
2023-04-12 05:11:03 +0000,150,Udemy Course ₹150.0
